Epoch - 1, Train loss 0.25148466972515043, Val loss - 0.1947964277855826
Epoch - 2, Train loss 0.17596652907310267, Val loss - 0.16791035382612812
Epoch - 3, Train loss 0.16026201902377032, Val loss - 0.15487732858522324
Epoch - 4, Train loss 0.15099962410775275, Val loss - 0.14861421818278228
Epoch - 5, Train loss 0.14651227258268754, Val loss - 0.14868421166134232
Epoch - 6, Train loss 0.1437069533226372, Val loss - 0.14288732017564032
Epoch - 7, Train loss 0.14136681833909193, Val loss - 0.14157498931463625
Epoch - 8, Train loss 0.1397721150409933, Val loss - 0.1392777779864904
Epoch - 9, Train loss 0.13853945770208737, Val loss - 0.13899959381454238
Epoch - 10, Train loss 0.13747171449985132, Val loss - 0.13767599433990238
Epoch - 11, Train loss 0.13659087893911614, Val loss - 0.1374027432438265
Epoch - 12, Train loss 0.13589780335011742, Val loss - 0.13723405152567103
Epoch - 13, Train loss 0.13521099524663385, Val loss - 0.1360277115235688
Epoch - 14, Train loss 0.13469138613136378, Val loss - 0.13577061897469433
Epoch - 15, Train loss 0.13417015954598252, Val loss - 0.13610885242318474
Epoch - 16, Train loss 0.13370407847431423, Val loss - 0.13454936528012612
Epoch - 17, Train loss 0.13322565974076292, Val loss - 0.13415571586527514
Epoch - 18, Train loss 0.1328688818786381, Val loss - 0.13388251971273368
Epoch - 19, Train loss 0.13256110449241612, Val loss - 0.13327427716722964
Epoch - 20, Train loss 0.1322005971287171, Val loss - 0.1332391425872065
Epoch - 21, Train loss 0.13192236476875882, Val loss - 0.13359994448028636
Epoch - 22, Train loss 0.13159940442773138, Val loss - 0.13304598499498396
Epoch - 23, Train loss 0.131359750532518, Val loss - 0.13317080236397769
Epoch - 24, Train loss 0.1310715454389876, Val loss - 0.13244727430973946
Epoch - 25, Train loss 0.13083281026660595, Val loss - 0.13315775971811575
Epoch - 26, Train loss 0.1306314837103116, Val loss - 0.13219515077225966
Epoch - 27, Train loss 0.1304275537855798, Val loss - 0.132723904589114
Epoch - 28, Train loss 0.1302108452235863, Val loss - 0.13174758355715904
Epoch - 29, Train loss 0.129959681620337, Val loss - 0.13248186820060548
Epoch - 30, Train loss 0.1298285572167673, Val loss - 0.13232553630068541
Epoch - 31, Train loss 0.12959643931949003, Val loss - 0.13164940068152822
