Epoch - 1, Train loss 0.20542731048576693, Val loss - 0.15990301131442486
Epoch - 2, Train loss 0.15487148404164902, Val loss - 0.15138041603987887
Epoch - 3, Train loss 0.1490495765196463, Val loss - 0.14813996185805972
Epoch - 4, Train loss 0.1458935941790031, Val loss - 0.1455677121778879
Epoch - 5, Train loss 0.14378932870475924, Val loss - 0.1429195301414614
Epoch - 6, Train loss 0.14235757619846, Val loss - 0.14233476407488369
Epoch - 7, Train loss 0.1415207289325214, Val loss - 0.14050288201804595
Epoch - 8, Train loss 0.14039470103810012, Val loss - 0.1402017420265082
Epoch - 9, Train loss 0.1395973154835361, Val loss - 0.13959484824152174
Epoch - 10, Train loss 0.13897656685266213, Val loss - 0.13897468900273524
Epoch - 11, Train loss 0.13844053046193708, Val loss - 0.1382087145223639
Epoch - 12, Train loss 0.1379918008923095, Val loss - 0.13833719352233947
Epoch - 13, Train loss 0.1375783487826472, Val loss - 0.13728695410943195
Epoch - 14, Train loss 0.13707542102656228, Val loss - 0.1382922904578054
Epoch - 15, Train loss 0.13678565146801105, Val loss - 0.13728710881069683
Epoch - 16, Train loss 0.13650522073646415, Val loss - 0.13729326977630393
Epoch - 17, Train loss 0.13608529209519307, Val loss - 0.13643100498883615
Epoch - 18, Train loss 0.13584864055847948, Val loss - 0.13622568850045844
Epoch - 19, Train loss 0.13540552295525532, Val loss - 0.13632662879230797
Epoch - 20, Train loss 0.13505135764531778, Val loss - 0.13596622443061146
Epoch - 21, Train loss 0.1349814268544253, Val loss - 0.13545861338968718
Epoch - 22, Train loss 0.1346920067255167, Val loss - 0.1354002062016037
Epoch - 23, Train loss 0.13433188321292022, Val loss - 0.13609236898491714
Epoch - 24, Train loss 0.13415272348001148, Val loss - 0.1352489837820571
Epoch - 25, Train loss 0.13386162734343154, Val loss - 0.13523276909641796
Epoch - 26, Train loss 0.1337375777450498, Val loss - 0.13524437593868074
Epoch - 27, Train loss 0.13351878128080727, Val loss - 0.13493386695588327
Epoch - 28, Train loss 0.1334986313878162, Val loss - 0.1357680038657552
Epoch - 29, Train loss 0.13324493037071963, Val loss - 0.13473262217441154
Epoch - 30, Train loss 0.13310487110623137, Val loss - 0.13450720986528109
Epoch - 31, Train loss 0.13275040931268325, Val loss - 0.1349501841838723
Epoch - 32, Train loss 0.13262146010593073, Val loss - 0.13456245053296628
Epoch - 33, Train loss 0.13232273454452104, Val loss - 0.1344754440472286
Epoch - 34, Train loss 0.13224870715427547, Val loss - 0.13426297393950518
Epoch - 35, Train loss 0.13198425515167556, Val loss - 0.1343533498050568
Epoch - 36, Train loss 0.13187438752444655, Val loss - 0.13453326173027227
Epoch - 37, Train loss 0.13167324706853673, Val loss - 0.13387594254747592
Epoch - 38, Train loss 0.1315165903730297, Val loss - 0.13415411299364924
Epoch - 39, Train loss 0.13136254840388367, Val loss - 0.13424709317579095
Epoch - 40, Train loss 0.131211769341901, Val loss - 0.13385823246131826
Epoch - 41, Train loss 0.13109033761944733, Val loss - 0.13376292550372332
Epoch - 42, Train loss 0.13104180906712745, Val loss - 0.1339171003361635
Epoch - 43, Train loss 0.13078321745141155, Val loss - 0.1336461994909795
Epoch - 44, Train loss 0.1307099577125164, Val loss - 0.13394678725750295
Epoch - 45, Train loss 0.1305934203357137, Val loss - 0.1335024506914992
Epoch - 46, Train loss 0.13047120948081317, Val loss - 0.1346242891538226
Epoch - 47, Train loss 0.13035154723441902, Val loss - 0.1333893977162265
Epoch - 48, Train loss 0.1301840900437176, Val loss - 0.13359385124011575
Epoch - 49, Train loss 0.13004822977688804, Val loss - 0.13358578520651115
Epoch - 50, Train loss 0.1300638199264889, Val loss - 0.13390729542763102
Epoch - 51, Train loss 0.12985748993228705, Val loss - 0.13333188945818944
Epoch - 52, Train loss 0.12973952183687337, Val loss - 0.13372740915669498
